19;Hamilton;The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.;2020;Drama
20;Gisaengchung;Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.;2019;Suspense
21;Soorarai Pottru;Nedumaaran Rajangam "Maara" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.;2020;Drama
22;Interstellar;A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.;2014;Ficcao
23;Cidade de Deus;In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.;2002;Suspense
24;Sen to Chihiro no kamikakushi;During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.;2001;Animacao
25;Saving Private Ryan;Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.;1998;Drama
26;The Green Mile;The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.;1999;Suspense
27;La vita  bella;When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.;1997;Romance
28;Se7en;Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.;1995;Suspense
29;The Silence of the Lambs;A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.;1991;Suspense
30;Star Wars;Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.;1977;Aventura
31;Seppuku;When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.;1962;Suspense
32;Shichinin no samurai;A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.;1954;Aventura
33;It's a Wonderful Life;An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.;1946;Drama
34;Joker;In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.;2019;Suspense
35;Whiplash;A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.;2014;Drama
36;The Intouchables;After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.;2011;Comedia
37;The Prestige;After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.;2006;Ficcao
38;The Departed;An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.;2006;Suspense
39;The Pianist;A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.;2002;Drama
40;Gladiator;A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.;2000;Aventura
41;American History X;A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.;1998;Drama
42;The Usual Suspects;A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.;1995;Suspense
43;Lon;Mathilda, a 12-year-old girl, is reluctantly taken in by Lon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protge and learns the assassin's trade.;1994;Suspense
44;The Lion King;Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.;1994;Animacao
45;Terminator 2: Judgment Day;A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.;1991;Ficcao
46;Nuovo Cinema Paradiso;A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.;1988;Romance
47;Hotaru no haka;A young boy and his little sister struggle to survive in Japan during World War II.;1988;Animacao
48;Back to the Future;Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.;1985;Ficcao
49;Once Upon a Time in the West;A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.;1968;Drama
50;Psycho;A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.;1960;Terror
51;Casablanca;A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.;1942;Romance
52;Modern Times;The Tramp struggles to live in modern industrial society with the help of a young homeless woman.;1936;Comedia
53;City Lights;With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.;1931;Romance
54;Capharnam;While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.;2018;Drama
55;Ayla: The Daughter of War;In 1950, amid-st the ravages of the Korean War, Sergeant Sleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ... See full summary;2017;Drama
56;Vikram Vedha;Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.;2017;Suspense
57;Kimi no na wa.;Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?;2016;Animacao
58;Dangal;Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.;2016;Acao
59;Spider-Man: Into the Spider-Verse;Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.;2018;Animacao
60;Avengers: Endgame;After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.;2019;Aventura
61;Avengers: Infinity War;The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.;2018;Ficcao
62;Coco;Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.;2017;Animacao
63;Django Unchained;With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.;2012;Drama
64;The Dark Knight Rises;Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.;2012;Aventura
65;3 Idiots;Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them "idiots".;2009;Comedia
66;Taare Zameen Par;An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.;2007;Drama
67;WALLE;In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.;2008;Animacao
68;The Lives of Others;In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.;2006;Suspense
69;Oldeuboi;After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.;2003;Suspense
70;Memento;A man with short-term memory loss attempts to track down his wife's murderer.;2000;Suspense
71;Mononoke-hime;On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.;1997;Animacao
72;Once Upon a Time in America;A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.;1984;Suspense
73;Raiders of the Lost Ark;In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.;1981;Aventura
74;The Shining;A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.;1980;Terror
75;Apocalypse Now;A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.;1979;Suspense
76;Alien;After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.;1979;Terror
77;Anand;The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.;1971;Drama
78;Tengoku to jigoku;An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.;1963;Suspense
79;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.;1964;Comedia
80;Witness for the Prosecution;A veteran British barrister must defend his client in a murder trial that has surprise after surprise.;1957;Suspense
81;Paths of Glory;After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.;1957;Drama
82;Rear Window;A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.;1954;Suspense
83;Sunset Blvd.;A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.;1950;Suspense
84;The Great Dictator;Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.;1940;Comedia
85;1917;April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.;2019;Suspense
86;Tumbbad;A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.;2018;Terror
87;Andhadhun;A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.;2018;Suspense
88;Drishyam;A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.;2013;Suspense
89;Jagten;A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.;2012;Drama
90;Jodaeiye Nader az Simin;A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.;2011;Drama
91;Incendies;Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.;2010;Suspense
92;Miracle in cell NO.7;A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).;2019;Drama
93;Babam ve Oglum;The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.;2005;Drama
94;Inglourious Basterds;In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.;2009;Aventura
95;Eternal Sunshine of the Spotless Mind;When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.;2004;Ficcao
96;Amlie;Amlie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.;2001;Romance
97;Snatch;Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.;2000;Suspense
98;Requiem for a Dream;The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.;2000;Drama
99;American Beauty;A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.;1999;Drama
100;Good Will Hunting;Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.;1997;Romance
101;Bacheha-Ye aseman;After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to "win" a new pair.;1997;Drama
102;Toy Story;A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.;1995;Animacao
103;Braveheart;Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.;1995;Drama
104;Reservoir Dogs;When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.;1992;Suspense
105;Full Metal Jacket;A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.;1987;Drama
106;Idi i smotri;After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.;1985;Suspense
107;Aliens;Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.;1986;Ficcao
108;Amadeus;The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.;1984;Drama
109;Scarface;In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.;1983;Suspense
110;Star Wars: Episode VI - Return of the Jedi;After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.;1983;Aventura
111;Das Boot;The claustrophobic world of a WWII German U-boat, boredom, filth and sheer terror.;1981;Aventura
112;Taxi Driver;A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.;1976;Suspense
113;The Sting;Two grifters team up to pull off the ultimate con.;1973;Suspense
114;A Clockwork Orange;In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.;1971;Ficcao
115;2001: A Space Odyssey;After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.;1968;Ficcao
116;Per qualche dollaro in pi;Two bounty hunters with the same intentions team up to track down a Western outlaw.;1965;Drama
117;Lawrence of Arabia;The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.;1962;Aventura
118;The Apartment;A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.;1960;Romance
119;North by Northwest;A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.;1959;Aventura
120;Vertigo;A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.;1958;Romance
121;Singin' in the Rain;A silent film production company and cast make a difficult transition to sound.;1952;Romance
122;Ikiru;A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.;1952;Drama
123;Ladri di biciclette;In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.;1948;Drama
124;Double Indemnity;An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.;1944;Suspense
125;Citizen Kane;Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance, 'Rosebud'.;1941;Suspense
126;M - Eine Stadt sucht einen Mrder;When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.;1931;Suspense
127;Metropolis;In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.;1927;Ficcao
128;The Kid;The Tramp cares for an abandoned child, but events put that relationship in jeopardy.;1921;Comedia
129;Chhichhore;A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.;2019;Comedia
130;Uri: The Surgical Strike;Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.;2018;Acao
131;K.G.F: Chapter 1;In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.;2018;Acao
132;Green Book;A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.;2018;Comedia
133;Three Billboards Outside Ebbing, Missouri;A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.;2017;Suspense
134;Talvar;An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.;2015;Suspense
135;Baahubali 2: The Conclusion;When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.;2017;Acao
136;Klaus;A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.;2019;Animacao
137;Drishyam 2015;Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.;2015;Suspense
138;Queen;A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.;2013;Aventura
139;Mandariinid;In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.;2013;Drama
140;Bhaag Milkha Bhaag;The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.;2013;Drama
141;Gangs of Wasseypur;A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.;2012;Suspense
142;Udaan;Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.;2010;Drama
143;Paan Singh Tomar;The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.;2012;Suspense
144;El secreto de sus ojos;A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.;2009;Romance
145;Warrior;The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.;2011;Acao
146;Shutter Island;In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.;2010;Suspense
147;Up;78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.;2009;Animacao
148;The Wolf of Wall Street;Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.;2013;Suspense
149;Chak De! India;Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.;2007;Drama
150;There Will Be Blood;A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.;2007;Drama
151;Pan's Labyrinth;In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.;2006;Drama
152;Toy Story 3;The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.;2010;Animacao
153;V for Vendetta;In a future British tyranny, a shadowy freedom fighter, known only by the alias of "V", plots to overthrow it with the help of a young woman.;2005;Ficcao
154;Rang De Basanti;The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.;2006;Suspense
155;Black;The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.;2005;Drama
156;Batman Begins;After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.;2005;Aventura
157;Swades: We, the People;A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.;2004;Drama
158;Der Untergang;Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.;2004;Drama
159;Hauru no ugoku shiro;When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.;2004;Animacao
160;A Beautiful Mind;After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.;2001;Drama
161;Hera Pheri;Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?;2000;Suspense
162;Lock, Stock and Two Smoking Barrels;A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.;1998;Suspense
163;L.A. Confidential;As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.;1997;Suspense
164;Eskiya;Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.;1996;Suspense
165;Heat;A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.;1995;Suspense
166;Casino;A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.;1995;Suspense
167;Andaz Apna Apna;Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.;1994;Romance
168;Unforgiven;Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The "Schofield Kid.";1992;Drama
169;Indiana Jones and the Last Crusade;In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry "Indiana" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.;1989;Aventura
170;Dom za vesanje;In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.;1988;Suspense
171;Tonari no Totoro;When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.;1988;Animacao
172;Die Hard;An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.;1988;Suspense
173;Ran;In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.;1985;Acao
174;Raging Bull;The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.;1980;Drama
175;Stalker;A guide leads two men through an area known as the Zone to find a room that grants wishes.;1979;Ficcao
176;Hstsonaten;A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.;1978;Drama
177;The Message;This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.;1976;Drama
178;Sholay;After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.;1975;Aventura
179;Monty Python and the Holy Grail;King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.;1975;Aventura
180;The Great Escape;Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.;1963;Aventura
181;To Kill a Mockingbird;Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.;1962;Suspense
182;Yjinb;A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.;1961;Suspense
183;Judgment at Nuremberg;In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.;1961;Drama
184;Some Like It Hot;After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.;1959;Romance
185;Smultronstllet;After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.;1957;Romance
186;Det sjunde inseglet;A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.;1957;Drama
187;Du rififi chez les hommes;Four men plan a technically perfect crime, but the human element intervenes...;1955;Suspense
188;Dial M for Murder;A former tennis player tries to arrange his wife's murder after learning of her affair.;1954;Suspense
189;Tky monogatari;An old couple visit their children and grandchildren in the city, but receive little attention.;1953;Drama
190;Rashmon;The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.;1950;Suspense
191;All About Eve;A seemingly timid but secretly ruthless ingnue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.;1950;Drama
192;The Treasure of the Sierra Madre;Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.;1948;Aventura
193;To Be or Not to Be;During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.;1942;Comedia
194;The Gold Rush;A prospector goes to the Klondike in search of gold and finds it and more.;1925;Aventura
195;Sherlock Jr.;A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.;1924;Romance
196;Portrait de la jeune fille en feu;On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.;2019;Romance
197;Pink;When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.;2016;Suspense
198;Koe no katachi;A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.;2016;Animacao
199;Contratiempo;A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.;2016;Suspense
200;Ah-ga-ssi;A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.;2016;Romance
201;Mommy;A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.;2014;Drama
202;Haider;A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.;2014;Suspense
